airlineFsCode,directs,allOntimeCumulative,allStars,delayObservations,ontimePercent,delayStandardDeviation,codeshares,delayMax,arrivalAirportFsCode,delayMin,allDelayCumulative,allDelayStars,allOntimeStars,late45,observations,diverted,ontime,flightNumber,delayMean,late15,cancelled,late30,departureAirportFsCode,req_carrier,req_flightNumber,req_origin,req_dest
OO,0,0.69150001,3,0,1,0,0,0,SLC,0,0.5,2.5,3.5,0,1,0,1,3536,0,0,0,0,OKC,SKW,3536,CHA,ATL
OO,0,0.69150001,2.5,8,0.84615386,46.801823,0,118,SLC,0,0.30849999,1.5,3.5,2,13,0,11,3536,31,0,0,0,RNO,SKW,3536,CHA,ATL
OO,0,0.84130001,2.6500001,4,0.88,38.353619,0,92,PHX,2,0.2119,1.1,4.1999998,2,25,0,22,4568,41,1,0,0,SLC,SKW,4568,EVV,ATL
OO,0,0.9332,3.5999999,0,1,0,0,0,SLC,0,0.5,2.5,4.6999998,0,8,0,8,4568,0,0,0,0,PHX,SKW,4568,EVV,ATL
OO,0,1,4.4000001,3,1,5.2915025,0,12,MSP,2,0.75800002,3.8,5,0,36,0,36,4568,8,0,0,0,RAP,SKW,4568,EVV,ATL
WN,0,1,4.3000002,8,0.97368419,27.649593,0,83,SAT,1,0.72570002,3.5999999,5,1,38,0,37,203,15,0,0,0,BNA,SWA,203,ATL,RSW
WN,0,0.9192,3.55,0,1,0,0,0,ATL,0,0.5,2.5,4.5999999,0,7,0,7,203,0,0,0,0,BOS,SWA,203,ATL,RSW
WN,0,0.86430001,4.0500002,14,0.86842108,30.226616,0,117,MDW,0,0.75800002,3.8,4.3000002,1,38,0,33,203,16,4,0,0,BWI,SWA,203,ATL,RSW
WN,0,0.69150001,3,0,1,0,0,0,PHX,0,0.5,2.5,3.5,0,1,0,1,203,0,0,0,0,LAS,SWA,203,ATL,RSW
WN,0,0.69150001,3,0,1,0,0,0,OMA,0,0.5,2.5,3.5,0,1,0,1,203,0,0,0,0,MDW,SWA,203,ATL,RSW
WN,0,0.98930001,4.8000002,23,0.94736844,22.197193,0,109,BNA,0,0.9332,4.6999998,4.9000001,1,38,1,36,203,11,1,0,0,MDW,SWA,203,ATL,RSW
WN,0,0.69150001,3.3,1,1,0,0,11,LAS,11,0.61790001,3.0999999,3.5,0,1,0,1,203,11,0,0,0,OMA,SWA,203,ATL,RSW
WN,0,0.9641,4.6500001,10,0.91891891,7.3037281,0,19,BWI,1,0.90319997,4.5,4.8000002,0,37,0,34,203,7,3,0,0,ABQ,SWA,203,ATL,RSW
WN,0,0.9192,3.55,0,1,0,0,0,RSW,0,0.5,2.5,4.5999999,0,7,0,7,203,0,0,0,0,ATL,SWA,203,ATL,RSW
EV,0,0.95539999,2.6500001,15,0.88524592,52.321625,0,181,ATL,1,0.096799999,0.5,4.8000002,4,61,0,54,5597,38,2,0,1,LFT,ASQ,5597,LFT,ATL
EV,0,0.95539999,3.1500001,16,0.88524592,35.507687,0,120,LFT,0,0.30849999,1.5,4.8000002,5,61,1,54,5597,29,1,0,1,ATL,ASQ,5597,LFT,ATL
DL,0,0.97719997,2.45,8,0.90163934,241.81276,0,709,ATL,0,0,0,4.9000001,3,61,0,55,2452,117,3,0,0,RIC,DAL,2452,RIC,ATL
DL,0,0.98930001,4.5500002,14,0.9245283,19.353422,0,67,RIC,1,0.84130001,4.1999998,4.9000001,2,53,0,49,2452,13,2,0,0,ATL,DAL,2452,RIC,ATL
AA,0,0.98210001,3.9000001,14,0.90322578,26.13122,0,101,JFK,3,0.57929999,2.9000001,4.9000001,2,62,0,56,66,22,4,0,0,SFO,AAL,66,JFK,LEBL
